source_id,ra,dec,parallax,parallax_err,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag
4689622945965826560,6.222805,-72.193367,0.077,0.077,17.205,17.410,16.591
4689622121332127488,6.240287,-72.216042,0.154,0.016,13.870,14.337,13.249
4689623014685827968,6.127336,-72.197754,-0.042,0.163,18.492,18.559,17.771
4689621464188746240,5.958239,-72.241577,0.341,0.131,18.168,18.318,17.589
4689623770588944896,6.439001,-72.117142,0.243,0.092,17.160,17.353,16.494
4689621498586748672,5.993347,-72.235420,0.260,0.198,18.764,19.017,18.076
4689624694038435072,5.824861,-72.201233,0.390,0.167,18.661,18.571,17.659
4689624728398532224,5.861181,-72.198616,0.442,0.998,20.760,21.292,19.667
4689623117764996224,6.189374,-72.188515,0.409,0.600,20.011,19.894,18.731
4689622082687250816,6.204177,-72.227150,1.810,1.065,20.781,20.567,19.498
4689623770599403392,6.423757,-72.125732,0.180,0.033,15.481,15.937,14.849
4689623182198672768,6.155416,-72.181694,2.204,0.881,19.882,19.647,18.740
4689622735515989376,6.143642,-72.216774,-1.709,0.603,15.856,16.035,15.088
4689623216538660224,6.214482,-72.174210,0.051,0.171,18.374,18.482,17.678
4689624487848920960,5.970324,-72.204140,0.245,0.153,18.401,18.622,17.766
4689621532942717952,5.931866,-72.232826,0.385,0.370,19.550,19.390,18.551
4689623461361824256,6.391029,-72.161728,0.601,0.186,18.497,18.731,17.877
4689623422715309952,6.459060,-72.160164,0.157,0.231,19.096,19.356,18.342
4689622121332130304,6.231366,-72.217827,0.530,0.447,20.038,19.863,19.003
4689621532942713344,5.926246,-72.233246,-0.153,0.458,20.053,19.635,18.774
4689622941674733440,6.244672,-72.189400,-0.018,0.294,19.161,19.176,18.243
4689624595233793152,6.025414,-72.186668,0.376,0.116,17.191,17.226,16.389
4689623319638011008,6.298641,-72.181160,1.254,0.354,19.628,19.481,18.394
4689623491439017856,6.434456,-72.149849,0.142,0.482,19.759,19.712,18.732
4689622739807987328,6.116985,-72.225845,0.180,0.016,13.714,14.261,13.023
4689624526514365824,6.013376,-72.205360,0.186,0.359,19.576,19.246,18.388
4689622494983590144,6.305775,-72.197159,-0.937,0.428,18.933,18.945,17.926
4689624595225009792,5.988717,-72.199280,0.079,0.695,20.040,20.036,19.007
4689624728398208256,5.899269,-72.192406,-0.412,0.255,19.081,18.737,17.967
4689623353991948672,6.358723,-72.167946,-1.041,1.027,20.404,20.234,19.352
4689624801392237312,5.970635,-72.185303,1.527,0.649,19.743,19.474,18.249
4689622495004290048,6.298977,-72.204529,0.145,0.265,19.296,18.896,18.521
4689624663953334656,5.906290,-72.200790,0.206,0.259,18.988,19.132,18.149
4689624522239843200,6.021695,-72.204468,0.012,0.160,18.439,18.546,17.811
4689623044759653248,6.058095,-72.208435,0.237,0.383,19.596,19.582,18.703
4689623633150140928,6.306855,-72.152077,-0.049,0.205,18.626,18.676,17.781
4689624797099799808,5.975348,-72.184982,1.259,0.030,15.605,16.100,14.896
4689624831459390720,5.928325,-72.177200,0.297,0.073,17.094,17.289,16.468
4689624595233790080,6.020503,-72.184059,0.954,0.428,19.078,18.607,17.630
4689623079119239168,6.104341,-72.191452,0.187,0.123,17.757,17.894,17.114
